PSSE New BUS,SSWG Bus Name,SSWG kV,Weather Zone,Settlement Zone,Planning Bus Long Name,TSP,County,Utility EIA ID,Zip Code,Latitude,Longitude
1081,ANDRANCHT_8,138,WZ_FAR_WEST,LZ_WEST,ANADARKOT_8,ONCOR,LOVING,44372,79754,31.90415,-103.70978
1083,MIDCREST_8,138,WZ_FAR_WEST,LZ_WEST,NUEVOMID1_8,ONCOR,CULBERSON,44372,79770,31.80237,-103.8183
1083,MIDCREST_8,138,WZ_FAR_WEST,LZ_WEST,NUEVOMID1_8,ONCOR,CULBERSON,44372,79770,31.80237,-103.8183
1085,RED_BLUFF1_8,138,WZ_FAR_WEST,LZ_WEST,MENTONE_SW_8,ONCOR,REEVES,44372,79770,31.80041,-103.932
1085,RED_BLUFF1_8,138,WZ_FAR_WEST,LZ_WEST,MENTONE_SW_8,ONCOR,REEVES,44372,79770,31.80042,-103.932
1085,RED_BLUFF1_8,138,WZ_FAR_WEST,LZ_WEST,MENTONE_SW_8,ONCOR,REEVES,44372,79770,31.80042,-103.932
1085,RED_BLUFF1_8,138,WZ_FAR_WEST,LZ_WEST,MENTONE_SW_8,ONCOR,REEVES,44372,79770,31.80042,-103.932
1088,WICKETT_8,138,WZ_FAR_WEST,LZ_WEST,WICKETT_8,ONCOR,WARD,44372,79788,31.58104,-102.9914
1090,SCRWBEAN_8,138,WZ_FAR_WEST,LZ_WEST,SCRWBEAN_8,ONCOR,CULBERSON,44372,79770,31.8218,-104.04579
1090,SCRWBEAN_8,138,WZ_FAR_WEST,LZ_WEST,SCRWBEAN_8,ONCOR,CULBERSON,44372,79770,31.8218,-104.04579
1091,WARDGULF_8,138,WZ_FAR_WEST,LZ_WEST,WARDGULF_8,ONCOR,WARD,40051,79788,31.5755,-103.0237
1092,LOVING_8,138,WZ_FAR_WEST,LZ_WEST,LOVING_8,ONCOR,LOVING,44372,79754,31.77631,-103.40526
1092,LOVING_8,138,WZ_FAR_WEST,LZ_WEST,LOVING_8,ONCOR,LOVING,44372,79754,31.77631,-103.40526
1093,ELMAR_8,138,WZ_FAR_WEST,LZ_WEST,ELMAR_8,ONCOR,LOVING,44372,79754,31.78814,-103.6198
1093,ELMAR_8,138,WZ_FAR_WEST,LZ_WEST,ELMAR_8,ONCOR,LOVING,44372,79754,31.78814,-103.6198
1094,MASON_8,138,WZ_FAR_WEST,LZ_WEST,MASON_8,ONCOR,REEVES,44372,79770,31.80321,-103.8139
1094,MASON_8,138,WZ_FAR_WEST,LZ_WEST,MASON_8,ONCOR,REEVES,44372,79770,31.80321,-103.8139
1094,MASON_8,138,WZ_FAR_WEST,LZ_WEST,MASON_8,ONCOR,REEVES,44372,79770,31.80321,-103.8139
1096,BLACKRVR_8,138,WZ_FAR_WEST,LZ_WEST,BLACKRVR_8,ONCOR,CULBERSON,44372,79772,31.83377,-104.2868
1097,CULBERSONT_8,138,WZ_FAR_WEST,LZ_WEST,TWPPMTR_8,ONCOR,CULBERSON,44372,79772,31.7581,-104.3043
1097,CULBERSONT_8,138,WZ_FAR_WEST,LZ_WEST,TWPPMTR_8,ONCOR,CULBERSON,44372,79772,31.7581,-104.3043
1100,SWPORTLA_8,138,WZ_FAR_WEST,LZ_WEST,SWPORTLA_8,ONCOR,ECTOR,44372,79763,31.74698,-102.5447
1100,SWPORTLA_8,138,WZ_FAR_WEST,LZ_WEST,SWPORTLA_8,ONCOR,ECTOR,44372,79763,31.74698,-102.5447
1101,EDWARDS_8,138,WZ_FAR_WEST,LZ_WEST,EDWARDS_8,ONCOR,CRANE,44372,79766,31.64413,-102.5045
1102,JUDKINS_8,138,WZ_FAR_WEST,LZ_WEST,JUDKINS_8,ONCOR,ECTOR,44372,79766,31.71652,-102.5972
1102,JUDKINS_8,138,WZ_FAR_WEST,LZ_WEST,JUDKINS_8,ONCOR,ECTOR,44372,79766,31.71652,-102.5972
1104,SANDHILL_8,138,WZ_FAR_WEST,LZ_WEST,SANDHILL_8,ONCOR,CRANE,44372,79756,31.63003,-102.8543
1106,MONAHN1_8,138,WZ_FAR_WEST,LZ_WEST,MONAHN1_8,ONCOR,WARD,44372,79756,31.59421,-102.8997
1108,MONAHN2_8,138,WZ_FAR_WEST,LZ_WEST,MONAHN2_8,ONCOR,WARD,44372,79756,31.59421,-102.8997
1108,MONAHN2_8,138,WZ_FAR_WEST,LZ_WEST,MONAHN2_8,ONCOR,WARD,44372,79756,31.59421,-102.8997
1112,BIG3OD_8,138,WZ_FAR_WEST,LZ_WEST,BIG3OD_8,ONCOR,ECTOR,44372,79766,31.82726,-102.3272
1113,ODESASW1_8,138,WZ_FAR_WEST,LZ_WEST,ODESASW1_8,ONCOR,ECTOR,44372,79766,31.79891,-102.3913
1113,ODESASW1_8,138,WZ_FAR_WEST,LZ_WEST,ODESASW1_8,ONCOR,ECTOR,44372,79766,31.79891,-102.3913
1113,ODESASW1_8,138,WZ_FAR_WEST,LZ_WEST,ODESASW1_8,ONCOR,ECTOR,44372,79766,31.79891,-102.3913
1115,TIDEWATER_8,138,WZ_FAR_WEST,LZ_WEST,TIDEWATER_8,ONCOR,ECTOR,44372,79766,31.85255,-102.3077
1121,GLENHAVN_8,138,WZ_FAR_WEST,LZ_WEST,GLENHAVN_8,ONCOR,ECTOR,44372,79762,31.89035,-102.3084
1121,GLENHAVN_8,138,WZ_FAR_WEST,LZ_WEST,GLENHAVN_8,ONCOR,ECTOR,44372,79762,31.89035,-102.3084
1121,GLENHAVN_8,138,WZ_FAR_WEST,LZ_WEST,GLENHAVN_8,ONCOR,ECTOR,44372,79762,31.89035,-102.3084
1121,GLENHAVN_8,138,WZ_FAR_WEST,LZ_WEST,GLENHAVN_8,ONCOR,ECTOR,44372,79762,31.89035,-102.3084
1121,GLENHAVN_8,138,WZ_FAR_WEST,LZ_WEST,GLENHAVN_8,ONCOR,ECTOR,44372,79762,31.89035,-102.308
1121,GLENHAVN_8,138,WZ_FAR_WEST,LZ_WEST,GLENHAVN_8,ONCOR,ECTOR,44372,79762,31.89035,-102.308
1122,ODESSANO_8,138,WZ_FAR_WEST,LZ_WEST,ODESSANO_8,ONCOR,ECTOR,44372,79764,31.87245,-102.3975
1122,ODESSANO_8,138,WZ_FAR_WEST,LZ_WEST,ODESSANO_8,ONCOR,ECTOR,44372,79764,31.87245,-102.3975
